ensayo_id,muestra_id,lago_id,punto_id,analito,nivel_codigo,duplicado_tecnico,fecha_ensayo,hora_prelectura_c0,c0_valor,c0_unidad,dilucion_matriz,kit_fabricante,kit_sku,kit_lote,kit_caducidad,kit_l_mg_l,kit_u_mg_l,especie_reportada,lambda_kit_nm,cubeta_mm,patron_lote,patron_concentracion_mg_l,volumen_muestra_ml,volumen_stock_ml,volumen_blanco_ml,volumen_final_ml,delta_real_mg_l,hora_espectro_sin,archivo_espectro_sin,hora_reactivo,hora_espectro_con,archivo_espectro_con,tiempo_reaccion_min,temperatura_reaccion_c,blanco_reactivo_valor,control_certificado_valor,control_medido_valor,referencia_kit_valor,referencia_kit_unidad,hora_referencia,operador,incidencia_qc
L05-P2-ortofosfato-0,L05-P2,L05,P2,ortofosfato,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-ortofosfato-2L,L05-P2,L05,P2,ortofosfato,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-ortofosfato-5L,L05-P2,L05,P2,ortofosfato,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-ortofosfato-10L,L05-P2,L05,P2,ortofosfato,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-ortofosfato-0-DUP,L05-P2,L05,P2,ortofosfato,0,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-ortofosfato-10L-DUP,L05-P2,L05,P2,ortofosfato,10L,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-amonio-0,L05-P2,L05,P2,amonio,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-amonio-2L,L05-P2,L05,P2,amonio,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-amonio-5L,L05-P2,L05,P2,amonio,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-amonio-10L,L05-P2,L05,P2,amonio,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-amonio-0-DUP,L05-P2,L05,P2,amonio,0,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-amonio-10L-DUP,L05-P2,L05,P2,amonio,10L,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-nitrito-0,L05-P2,L05,P2,nitrito,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-nitrito-2L,L05-P2,L05,P2,nitrito,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-nitrito-5L,L05-P2,L05,P2,nitrito,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-nitrito-10L,L05-P2,L05,P2,nitrito,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-nitrito-0-DUP,L05-P2,L05,P2,nitrito,0,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P2-nitrito-10L-DUP,L05-P2,L05,P2,nitrito,10L,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-ortofosfato-0,L05-P3,L05,P3,ortofosfato,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-ortofosfato-2L,L05-P3,L05,P3,ortofosfato,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-ortofosfato-5L,L05-P3,L05,P3,ortofosfato,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-ortofosfato-10L,L05-P3,L05,P3,ortofosfato,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-amonio-0,L05-P3,L05,P3,amonio,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-amonio-2L,L05-P3,L05,P3,amonio,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-amonio-5L,L05-P3,L05,P3,amonio,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-amonio-10L,L05-P3,L05,P3,amonio,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-nitrito-0,L05-P3,L05,P3,nitrito,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-nitrito-2L,L05-P3,L05,P3,nitrito,2L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-nitrito-5L,L05-P3,L05,P3,nitrito,5L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05-P3-nitrito-10L,L05-P3,L05,P3,nitrito,10L,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
